,Name,Year,Location,Coordinates
115,"""#VanLifeAttila""",2016,"Wells, British Columbia, Canada","(53.1044428, -121.5723679)"
116,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
117,"""#VanLifeAttila""",2016,"Burnaby, British Columbia, Canada","(49.2433804, -122.9725459)"
118,"""#VanLifeAttila""",2016,"North Vancouver, British Columbia, Canada","(49.3206294, -123.0737925)"
119,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
120,"""#VanLifeAttila""",2016,"Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
121,"""#VanLifeAttila""",2016,"Wells, British Columbia, Canada","(53.1044428, -121.5723679)"
122,"""#VanLifeAttila""",2016,"Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
123,"""#VanLifeAttila""",2016,"Stanley Park, Vancouver, British Columbia, Canada","(49.3019112, -123.14154052837662)"
124,"""#VanLifeAttila""",2016,"Alberta, Canada","(55.001251, -115.002136)"
125,"""#VanLifeAttila""",2016,"Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
126,"""#VanLifeAttila""",2016,"Budapest, Hungary","(47.4979937, 19.0403594)"
127,"""#VanLifeAttila""",2016,"Budapest, Hungary","(47.4979937, 19.0403594)"
128,"""#VanLifeAttila""",2016,Barkerville Highway,"(53.0154665, -122.4950096)"
129,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
130,"""#VanLifeAttila""",2016,"Wells, British Columbia, Canada","(53.1044428, -121.5723679)"
131,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
132,"""#VanLifeAttila""",2016,"Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
133,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
134,"""#VanLifeAttila""",2016,"Coquitlam, British Columbia, Canada","(49.2842958, -122.793281)"
135,"""#VanLifeAttila""",2016,"North Vancouver, British Columbia, Canada","(49.3206294, -123.0737925)"
136,"""#VanLifeAttila""",2016,"Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
137,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
